,id,url,title,year,genre,certificate,runtime,imdb_rating,metascore
208,tt1133985,/title/tt1133985/,Green Lantern,2011,"['Action', ' Adventure', ' Sci-Fi']",PG-13,114,55.0,
209,tt1840309,/title/tt1840309/,Divergent,2014,"['Action', ' Adventure', ' Mystery']",PG-13,139,66.0,48.0
210,tt6628394,/title/tt6628394/,Bad Times at the El Royale,2018,"['Crime', ' Drama', ' Mystery']",R,141,71.0,60.0
211,tt2527336,/title/tt2527336/,Star Wars: Episode VIII - The Last Jedi,2017,"['Action', ' Adventure', ' Fantasy']",PG-13,152,69.0,
212,tt8503618,/title/tt8503618/,Hamilton,2020,"['Biography', ' Drama', ' History']",PG-13,160,84.0,
213,tt1478338,/title/tt1478338/,Bridesmaids,2011,"['Comedy', ' Romance']",R,125,68.0,
214,tt1270797,/title/tt1270797/,Venom,2018,"['Action', ' Adventure', ' Sci-Fi']",PG-13,112,66.0,
215,tt2543164,/title/tt2543164/,Arrival,2016,"['Drama', ' Sci-Fi']",PG-13,116,79.0,
216,t12731980,/title/tt12731980/,Old Henry,2021,"['Action', ' Drama', ' Western']",,99,72.0,
217,t12536294,/title/tt12536294/,Spencer,2021,"['Biography', ' Drama']",R,117,66.0,
218,tt9242528,/title/tt9242528/,The Survivor,2021,"['Biography', ' Drama', ' Sport']",R,129,68.0,
219,tt0903624,/title/tt0903624/,The Hobbit: An Unexpected Journey,2012,"['Adventure', ' Fantasy']",PG-13,169,78.0,58.0
220,tt4550098,/title/tt4550098/,Nocturnal Animals,2016,"['Drama', ' Thriller']",R,116,75.0,
221,tt2379713,/title/tt2379713/,Spectre,2015,"['Action', ' Adventure', ' Thriller']",PG-13,148,68.0,60.0
222,tt1568346,/title/tt1568346/,The Girl with the Dragon Tattoo,2011,"['Crime', ' Drama', ' Mystery']",R,158,78.0,
223,tt2278388,/title/tt2278388/,The Grand Budapest Hotel,2014,"['Adventure', ' Comedy', ' Crime']",R,99,81.0,
224,tt2948356,/title/tt2948356/,Zootopia,2016,"['Animation', ' Adventure', ' Comedy']",PG,108,80.0,
225,tt0948470,/title/tt0948470/,The Amazing Spider-Man,2012,"['Action', ' Adventure', ' Sci-Fi']",PG-13,136,69.0,
226,tt9421570,/title/tt9421570/,The Guilty,2021,"['Crime', ' Drama', ' Thriller']",R,90,63.0,
227,tt6966692,/title/tt6966692/,Green Book,2018,"['Biography', ' Comedy', ' Drama']",PG-13,130,82.0,
228,tt6149154,/title/tt6149154/,Waiting for the Barbarians,2019,['Drama'],,112,59.0,52.0
229,tt2771200,/title/tt2771200/,Beauty and the Beast,2017,"['Adventure', ' Family', ' Fantasy']",PG,129,71.0,
230,tt8695030,/title/tt8695030/,The Dead Don't Die,2019,"['Comedy', ' Fantasy', ' Horror']",R,104,54.0,53.0
